247,25,03
Main Terrain - Snow\DeformTerrainMaster\weightForceLeftYFloat,Main Terrain - Snow\DeformTerrainMaster\weightForceRightYFloat,Main Terrain - Snow\DeformTerrainMaster\weightForceYFloat,Main Terrain - Snow\DeformTerrainMaster\momentumForceLeftYFloat,Main Terrain - Snow\DeformTerrainMaster\momentumForceRightYFloat,Main Terrain - Snow\DeformTerrainMaster\momentumForceYFloat,Main Terrain - Snow\DeformTerrainMaster\totalGRForceLeftYFloat,Main Terrain - Snow\DeformTerrainMaster\totalGRForceRightYFloat,Main Terrain - Snow\DeformTerrainMaster\totalGRForceYFloat
0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000
0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000
0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000
-380,138,-380,138,-760,275,0,865,1,945,2,810,381,003,382,082,763,085
-380,138,-380,138,-760,275,0,685,0,905,1,590,380,822,381,043,761,865
-380,138,-380,138,-760,275,0,709,0,411,1,120,380,847,380,549,761,395
-380,138,-380,138,-760,275,0,743,0,237,0,979,380,880,380,374,761,254
-293,084,-467,191,-760,275,0,605,0,274,0,879,293,084,467,191,760,275
-162,636,-597,639,-760,275,0,605,0,274,0,879,162,636,597,639,760,275
-321,593,-438,682,-760,275,0,605,0,274,0,879,321,593,438,682,760,275
-760,275,0,000,-760,275,253,594,0,274,253,594,1013,869,0,000,1013,869
0,000,0,000,-760,275,253,594,0,274,253,594,0,000,0,000,0,000
0,000,0,000,-760,275,253,594,0,274,253,594,0,000,0,000,0,000
0,000,0,000,-760,275,600,337,0,274,600,337,0,000,0,000,0,000
-760,275,0,000,-760,275,47,427,0,274,47,427,760,275,0,000,760,275
0,000,0,000,-760,275,47,427,0,274,47,427,0,000,0,000,0,000
0,000,-760,275,-760,275,47,427,515,042,515,042,0,000,1275,317,1275,317
0,000,-760,275,-760,275,47,427,212,241,212,241,0,000,760,275,760,275
0,000,0,000,-760,275,47,427,212,241,212,241,0,000,0,000,0,000
-760,275,0,000,-760,275,541,334,212,241,541,334,1301,609,0,000,1301,609
-760,275,0,000,-760,275,92,833,212,241,92,833,853,108,0,000,853,108
0,000,0,000,-760,275,75,762,212,241,75,762,0,000,0,000,0,000
0,000,-760,275,-760,275,75,762,111,174,111,174,0,000,871,449,871,449
0,000,-760,275,-760,275,75,762,162,830,162,830,0,000,923,105,923,105
0,000,-760,275,-760,275,75,762,162,830,162,830,0,000,760,275,760,275
0,000,0,000,-760,275,75,762,162,830,162,830,0,000,0,000,0,000
-760,275,0,000,-760,275,601,524,162,830,601,524,1361,799,0,000,1361,799
-760,275,0,000,-760,275,47,736,162,830,47,736,760,275,0,000,760,275
0,000,0,000,-760,275,18,018,162,830,18,018,0,000,0,000,0,000
0,000,-760,275,-760,275,18,018,280,834,280,834,0,000,1041,109,1041,109
-414,873,-345,402,-760,275,378,285,147,880,378,285,793,158,345,402,1138,560
-760,275,0,000,-760,275,200,674,147,880,200,674,960,949,0,000,960,949
-760,275,0,000,-760,275,11,274,147,880,11,274,771,549,0,000,771,549
-760,275,0,000,-760,275,4,781,147,880,4,781,760,275,0,000,760,275
-707,950,-52,325,-760,275,4,781,4,435,4,435,707,950,52,325,760,275
-430,600,-329,675,-760,275,4,781,3,552,3,552,430,600,333,228,763,828
0,000,-760,275,-760,275,4,781,197,094,197,094,0,000,957,369,957,369
0,000,-760,275,-760,275,4,781,39,020,39,020,0,000,799,295,799,295
0,000,-760,275,-760,275,4,781,0,533,0,533,0,000,760,275,760,275
0,000,-760,275,-760,275,4,781,0,533,0,533,0,000,760,275,760,275
-265,605,-494,670,-760,275,4,781,0,533,0,533,265,605,494,670,760,275
-760,275,0,000,-760,275,188,448,0,533,188,448,948,723,0,000,948,723
-760,275,0,000,-760,275,5,588,0,533,5,588,765,863,0,000,765,863
-760,275,0,000,-760,275,6,432,0,533,6,432,766,707,0,000,766,707
-733,685,-26,590,-760,275,10,742,2,019,2,019,733,685,28,609,762,294
-580,705,-179,570,-760,275,10,742,2,019,2,019,580,705,179,570,760,275
0,000,-760,275,-760,275,10,742,173,275,173,275,0,000,933,550,933,550
0,000,-760,275,-760,275,10,742,22,102,22,102,0,000,782,377,782,377
0,000,-760,275,-760,275,10,742,5,671,5,671,0,000,760,275,760,275
0,000,-760,275,-760,275,10,742,0,354,0,354,0,000,760,275,760,275
0,000,-760,275,-760,275,10,742,0,354,0,354,0,000,760,275,760,275
0,000,0,000,-760,275,10,742,0,354,0,354,0,000,0,000,0,000
0,000,0,000,-760,275,10,742,0,354,0,354,0,000,0,000,0,000
-760,275,0,000,-760,275,19,395,0,354,19,395,779,670,0,000,779,670
-760,275,0,000,-760,275,13,818,0,354,13,818,760,275,0,000,760,275
0,000,0,000,-760,275,13,818,0,354,13,818,0,000,0,000,0,000
0,000,-760,275,-760,275,13,818,68,938,68,938,0,000,760,275,760,275
-760,275,0,000,-760,275,21,903,68,938,21,903,782,179,0,000,782,179
-760,275,0,000,-760,275,13,301,68,938,13,301,773,576,0,000,773,576
-424,626,-335,649,-760,275,1,044,57,332,57,332,424,626,392,981,817,607
-322,796,-437,479,-760,275,1,044,8,668,8,668,322,796,437,479,760,275
-183,540,-576,735,-760,275,1,044,8,668,8,668,183,540,576,735,760,275
-218,076,-542,199,-760,275,1,044,8,668,8,668,218,076,542,199,760,275
-760,275,0,000,-760,275,214,281,8,668,214,281,974,556,0,000,974,556
0,000,0,000,-760,275,214,281,8,668,214,281,0,000,0,000,0,000
0,000,0,000,-760,275,214,281,8,668,214,281,0,000,0,000,0,000
-760,275,0,000,-760,275,285,741,8,668,285,741,1046,016,0,000,1046,016
-760,275,0,000,-760,275,22,801,8,668,22,801,760,275,0,000,760,275
0,000,0,000,-760,275,22,801,8,668,22,801,0,000,0,000,0,000
0,000,-760,275,-760,275,22,801,343,112,343,112,0,000,1103,387,1103,387
0,000,-760,275,-760,275,22,801,34,642,34,642,0,000,794,917,794,917
0,000,0,000,-760,275,22,801,34,642,34,642,0,000,0,000,0,000
0,000,0,000,-760,275,22,801,34,642,34,642,0,000,0,000,0,000
-760,275,0,000,-760,275,46,012,34,642,46,012,806,287,0,000,806,287
-760,275,0,000,-760,275,7,086,34,642,7,086,767,361,0,000,767,361
0,000,0,000,-760,275,7,086,34,642,7,086,0,000,0,000,0,000
0,000,-760,275,-760,275,7,086,357,174,357,174,0,000,1117,448,1117,448
0,000,-760,275,-760,275,7,086,20,091,20,091,0,000,780,366,780,366
0,000,0,000,-760,275,7,086,5,194,5,194,0,000,0,000,0,000
0,000,0,000,-760,275,7,086,5,194,5,194,0,000,0,000,0,000
-760,275,0,000,-760,275,24,757,5,194,24,757,785,032,0,000,785,032
-760,275,0,000,-760,275,50,297,5,194,50,297,810,572,0,000,810,572
0,000,0,000,-760,275,50,297,5,194,50,297,0,000,0,000,0,000
0,000,-760,275,-760,275,50,297,314,903,314,903,0,000,1075,178,1075,178
